demographic,earnings,order_earnings,change_earnings,earnings_hs,order_earnings_hs,change_earnings_hs,earnings_ba,order_earnings_ba,change_earnings_ba,earnings_aa,order_earnings_aa,change_earnings_aa,earnings_justice,order_earnings_justice,change_earnings_justice,earnings_race,order_earnings_race,change_earnings_race,earnings_comm,order_earnings_comm,change_earnings_comm,earnings_job_quality,order_earnings_job_quality,change_earnings_job_quality,earnings_job_training,order_earnings_job_training,change_earnings_job_training
White women+,2,22,0,2,19,0,2,22,0,2,22,0,2,22,0,2,22,0,2,21,0,2,22,0,2,22,0
White men+,13,4,0,13,5,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,14,7,1
White women+,9,16,0,9,16,0,9,16,0,9,16,0,9,16,0,9,16,0,9,17,0,9,15,0,9,13,1
White women+,11,9,0,11,9,0,11,10,0,11,9,0,11,9,0,11,9,0,11,10,0,11,10,0,11,11,0
White men+,11,8,0,11,9,0,11,7,0,11,8,0,11,8,0,11,8,0,11,9,1,11,8,0,11,7,0
White men+,6,23,0,6,22,0,6,23,0,6,23,0,6,23,0,6,23,0,6,26,1,7,23,1,7,21,1
White women+,4,23,0,4,24,0,4,22,0,4,21,0,4,23,0,4,23,0,4,21,0,5,27,1,4,22,0
White women+,2,23,0,2,20,0,2,23,0,2,23,0,2,23,0,2,23,0,2,22,0,2,23,0,2,23,0
White women+,3,14,0,3,12,0,3,14,0,3,14,0,3,14,0,3,14,0,4,22,1,3,10,1,3,13,1
White women+,3,15,0,3,13,0,3,15,0,3,15,0,3,15,0,3,15,0,4,23,1,3,11,1,3,14,1
Black women,5,6,0,5,6,0,5,6,0,6,4,1,5,6,0,5,4,1,5,5,1,6,5,1,5,6,1
Black women,3,4,0,5,7,1,3,4,0,3,4,0,3,4,0,3,4,1,3,3,0,3,4,0,3,3,-1
Black women,8,1,0,8,1,0,8,1,0,8,1,0,8,1,0,9,2,1,9,2,1,8,1,0,8,2,0
Black men,4,4,0,4,4,0,4,4,0,4,3,0,4,5,1,7,8,1,4,3,1,4,5,1,4,4,1
White men+,7,19,0,7,20,0,7,19,0,7,18,0,7,19,0,7,19,0,7,18,0,7,24,1,7,22,1
White women+,10,9,0,10,9,0,10,9,0,10,9,0,10,9,0,10,9,0,10,9,0,10,10,0,10,11,1
White women+,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,3,0,15,2,0
White men+,11,9,0,11,10,0,11,8,0,11,9,0,11,9,0,11,9,0,11,10,0,11,9,0,11,8,0
White men+,16,2,0,16,2,0,16,3,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0
White women+,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
White women+,4,24,0,4,25,0,4,23,0,4,22,0,4,24,0,4,24,0,4,24,0,4,22,1,4,23,1
White women+,9,17,0,9,17,0,9,17,0,9,17,0,9,17,0,9,17,0,9,18,0,9,16,0,9,14,0
White men+,13,5,0,13,6,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,8,0
White women+,3,16,0,3,14,0,3,16,0,3,16,0,3,16,0,3,16,0,3,14,0,3,12,0,4,24,1
White women+,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0,13,4,0
White women+,16,5,0,16,5,0,16,5,0,16,5,0,16,5,0,16,5,0,16,5,0,16,5,0,16,6,0
White men+,7,20,0,7,21,0,7,20,0,7,19,0,7,20,0,7,20,0,7,19,0,7,25,0,7,23,0
White men+,6,24,0,6,23,0,6,24,0,6,24,0,6,24,0,6,24,0,6,27,1,6,21,0,7,24,1
White men+,6,25,0,6,24,0,6,25,0,6,25,0,6,25,0,6,25,0,6,28,0,6,22,0,6,23,1
White women+,4,25,0,4,26,0,4,24,0,4,23,0,4,25,0,4,25,0,4,25,1,4,23,1,4,25,1
White men+,11,10,0,11,11,0,11,9,0,11,10,0,11,10,0,11,10,0,11,11,1,12,9,1,11,9,1
White men+,5,19,0,7,22,1,5,19,0,5,19,0,5,19,0,5,19,0,7,20,1,6,23,1,5,16,1
White men+,5,20,0,5,19,0,5,20,0,5,20,0,5,20,0,5,20,0,7,21,1,5,18,0,5,17,0
White women+,2,24,0,2,21,0,2,24,0,2,24,0,2,24,0,2,24,0,2,23,1,2,24,0,2,24,0
White men+,8,15,0,8,18,0,8,15,0,8,16,0,8,15,0,8,15,0,8,17,1,8,16,1,8,15,1
White men+,4,13,0,4,10,0,4,13,0,4,13,0,4,13,0,4,13,0,5,14,1,4,8,1,4,13,1
White women+,4,26,0,4,27,0,4,25,0,4,24,0,4,26,0,4,26,0,5,25,1,4,24,0,4,26,0
White women+,2,25,0,4,28,1,2,25,0,2,25,0,2,25,0,2,25,0,2,24,0,2,25,1,2,25,1
White men+,9,16,0,9,15,0,17,5,1,9,16,0,9,16,0,9,16,0,9,16,1,10,16,1,10,14,1
White women+,6,24,0,6,26,0,6,24,0,6,28,0,6,24,0,6,24,0,7,15,1,7,18,1,7,16,1
White women+,6,25,0,6,27,0,6,25,0,6,29,0,6,25,0,6,25,0,7,16,1,7,19,1,7,17,1
White men+,9,17,0,9,16,0,9,16,0,9,17,0,9,17,0,9,17,0,9,17,1,9,17,0,9,16,1
White women+,2,26,0,2,22,0,2,26,0,2,26,0,2,26,0,2,26,0,2,25,0,2,26,0,2,26,1
White women+,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0,13,5,0
White women+,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0
White men+,11,11,0,11,12,0,11,10,0,11,11,0,11,11,0,11,11,0,11,12,1,11,10,0,11,10,0
Hispanic men,11,2,0,11,2,0,11,2,0,11,2,0,11,2,0,13,2,1,11,2,0,11,2,0,11,3,0
White men+,5,21,0,5,20,0,5,21,0,5,21,0,5,21,0,5,21,0,5,15,0,6,24,1,5,18,1
White men+,8,16,0,8,19,0,8,16,0,8,17,0,8,16,0,8,16,0,8,18,0,8,17,0,8,16,0
White women+,6,26,0,6,28,0,6,26,0,6,30,0,6,26,0,6,26,0,6,25,0,7,20,1,7,18,1
White men+,16,3,0,16,3,0,16,4,0,16,3,0,16,3,0,16,3,0,16,3,0,16,3,0,16,3,0
White women+,9,18,0,9,18,0,9,18,0,9,18,0,9,18,0,9,18,0,9,19,0,9,17,0,9,15,0
White men+,7,21,0,7,23,0,7,21,0,8,18,1,7,21,0,7,21,0,7,22,0,7,26,0,7,25,0
White women+,4,27,0,4,29,0,4,26,0,4,25,0,4,27,0,4,27,0,6,26,1,4,25,1,4,27,1
Black women,4,8,0,9,2,1,4,8,0,4,7,0,4,8,0,4,8,1,9,3,1,4,9,0,4,9,1
White men+,4,14,0,4,11,0,4,14,0,4,14,0,4,14,0,4,14,0,4,11,1,5,19,1,4,14,1
White men+,4,15,0,4,12,0,4,15,0,4,15,0,4,15,0,4,15,0,4,12,0,4,9,1,4,15,1
White men+,7,22,0,7,24,0,7,22,0,7,20,0,7,22,0,7,22,0,7,23,0,8,18,1,7,26,1
White men+,5,22,0,5,21,0,5,22,0,5,22,0,5,22,0,5,22,0,5,16,1,5,20,1,5,19,1
White women+,5,25,0,5,26,0,5,25,0,5,22,0,5,25,0,5,25,0,5,26,1,5,28,1,5,26,1
White women+,8,10,0,8,10,0,8,11,0,8,10,0,8,10,0,8,10,0,9,20,1,8,13,0,8,10,0
White men+,12,8,0,12,8,0,12,9,0,12,8,0,12,8,0,12,8,0,12,9,1,12,10,0,13,9,1
White men+,10,14,0,10,14,0,10,13,0,10,14,0,10,14,0,10,14,0,10,15,0,10,17,0,11,11,1
White men+,5,23,0,7,25,1,5,23,0,5,23,0,5,23,0,5,23,0,5,17,0,5,21,0,5,20,1
White men+,21,9,0,21,9,1,21,9,1,21,9,1,21,9,1,21,9,1,21,9,1,21,9,1,21,9,1
White men+,12,9,0,12,9,0,12,10,0,12,9,0,12,9,0,12,9,0,12,10,0,12,11,0,12,8,0
Black men,1,2,0,1,2,0,1,2,0,1,2,0,4,6,1,8,7,1,5,7,1,2,4,1,1,2,1
White men+,15,13,0,15,13,0,15,12,0,15,13,0,15,13,0,15,13,0,15,13,0,15,13,0,15,13,0
White women+,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0,10,11,0,10,12,0
White women+,10,11,0,10,11,0,10,11,0,10,11,0,10,11,0,10,11,0,10,11,0,10,12,0,10,13,0
White women+,11,10,0,11,10,0,11,11,0,11,10,0,11,10,0,11,10,0,11,11,0,11,11,0,11,12,0
White women+,8,11,0,8,11,0,8,12,0,8,11,0,8,11,0,8,11,0,8,10,0,8,14,0,8,11,0
Hispanic men,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,-1,2,1,1,2,1,0,2,1,-1
Hispanic men,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,5,1,1,4,4,0,4,4,1,4,4,0
White men+,6,26,0,6,25,0,6,26,0,6,26,0,6,26,0,6,26,0,6,29,1,6,25,0,6,24,1
White men+,11,12,0,11,13,0,11,11,0,11,12,0,11,12,0,11,12,0,11,13,0,11,11,0,11,12,0
White women+,7,15,0,7,16,0,7,14,0,7,16,0,7,15,0,7,15,0,7,17,1,7,21,0,7,19,1
Black women,4,9,0,4,9,0,4,9,0,5,7,1,4,9,0,4,9,1,4,9,0,4,10,1,4,10,1
White men+,21,10,0,21,10,0,21,10,0,21,10,0,21,10,0,21,10,0,21,10,0,21,10,0,21,10,0
White women+,6,27,0,6,29,0,6,27,0,6,31,0,6,27,0,6,27,0,6,27,0,6,20,0,6,23,0
Hispanic men,11,3,0,11,3,0,11,3,0,11,3,0,11,3,0,14,2,1,11,3,0,11,3,0,11,4,0
White men+,9,18,0,9,17,0,9,17,0,9,18,0,9,18,0,9,18,0,9,18,0,9,18,0,9,17,0
Hispanic men,6,4,0,6,4,0,13,1,1,6,4,0,6,4,0,7,5,1,6,4,-1,7,4,1,6,3,1
White men+,7,23,0,7,26,0,7,23,0,7,21,0,7,23,0,7,23,0,7,24,0,7,27,0,7,27,1
White men+,14,7,0,14,7,0,14,7,0,14,7,0,14,7,0,14,7,0,14,7,0,14,7,0,14,8,0
White women+,12,5,0,12,5,0,12,5,0,12,5,0,12,5,0,12,5,0,12,5,0,12,5,0,12,5,0
Black men,2,4,0,2,4,0,2,4,0,2,3,0,2,3,1,10,4,1,2,2,1,2,5,1,2,3,1
White men+,7,24,0,7,27,0,7,24,0,8,19,1,7,24,0,7,24,0,7,25,0,8,19,1,7,28,1
White men+,6,27,0,6,26,0,6,27,0,6,27,0,6,27,0,6,27,0,6,30,1,7,28,1,6,25,1
White men+,11,13,0,11,14,0,11,12,0,11,13,0,11,13,0,11,13,0,11,14,0,11,12,0,11,13,0
White men+,18,3,0,18,3,0,18,3,0,18,3,0,18,3,0,18,3,0,18,3,0,18,3,0,18,4,0
Hispanic men,11,4,0,11,4,0,11,4,0,11,4,0,11,4,0,13,3,1,11,4,0,11,4,0,12,1,1
White women+,4,28,0,4,30,0,4,27,0,4,26,0,4,28,0,4,28,0,4,26,0,4,26,0,4,28,0
White men+,14,8,0,14,8,0,14,8,0,14,8,0,14,8,0,14,8,0,14,8,0,14,8,1,14,9,0
White men+,10,15,0,10,15,0,10,14,0,10,15,0,10,15,0,10,15,0,10,16,0,11,13,1,10,15,0
Black women,4,10,0,4,10,0,4,10,0,4,8,0,4,10,0,3,5,-1,4,10,0,4,11,1,4,11,1
Black women,5,7,0,5,8,0,5,7,0,5,8,0,5,7,0,5,5,1,5,6,1,5,6,1,5,7,1
White men+,12,10,0,12,10,0,12,11,0,12,10,0,12,10,0,12,10,0,12,11,0,12,12,0,12,9,0
White women+,5,26,0,5,27,0,5,26,0,5,23,0,5,26,0,5,26,0,6,28,1,5,29,0,5,27,0
Black men,7,4,0,7,4,0,7,4,0,7,6,0,7,4,1,13,1,1,7,5,1,7,4,1,7,4,1
White women+,2,27,0,2,23,0,2,27,0,2,27,0,2,27,0,2,27,0,2,26,0,2,27,0,2,27,1
Hispanic men,6,5,0,6,5,0,6,4,0,6,5,0,6,5,0,7,6,1,6,5,-1,7,5,1,6,4,1
Black women,2,9,0,2,8,0,2,9,0,2,9,0,2,9,0,2,8,1,2,8,0,2,8,0,2,9,0
White women+,11,11,0,11,11,0,11,12,0,11,11,0,11,11,0,11,11,0,11,12,0,11,12,0,11,13,0
Black men,6,2,0,6,2,0,6,2,0,6,3,0,6,2,1,11,4,1,6,4,0,6,4,0,6,2,0
White men+,6,28,0,6,27,0,6,28,0,6,28,0,6,28,0,6,28,0,6,31,0,6,26,0,6,26,1
Hispanic women,4,5,0,4,5,0,4,5,0,4,5,0,4,5,0,5,3,1,6,7,1,5,4,1,4,5,1
Black men,3,13,0,3,11,0,3,13,0,3,11,0,3,12,1,7,9,1,3,10,1,4,6,1,3,14,1
White women+,4,29,0,4,31,0,4,28,0,4,27,0,4,29,0,4,29,0,4,27,1,4,27,1,4,29,1
White women+,4,30,0,4,32,0,4,29,0,4,28,0,4,30,0,4,30,0,4,28,0,4,28,1,4,30,1
White men+,4,16,0,4,13,0,4,16,0,4,16,0,4,16,0,4,16,0,4,13,0,4,10,0,4,16,1
White women+,20,1,0,20,1,0,20,1,0,20,1,0,20,1,0,20,1,0,20,1,0,20,1,0,20,1,0
Black men,3,14,0,3,12,0,3,14,0,3,12,0,4,7,1,7,10,1,5,8,1,3,13,0,3,15,0
Black men,4,5,0,4,5,0,4,5,0,4,4,0,4,8,-1,8,8,1,4,4,0,4,7,1,4,5,0
White men+,6,29,0,6,28,0,6,29,0,6,29,0,6,29,0,6,29,0,6,32,0,7,29,1,7,29,1
White men+,14,9,0,14,9,0,14,9,0,14,9,0,14,9,0,14,9,0,14,9,0,14,9,0,14,10,0
White men+,7,25,0,7,28,0,7,25,0,7,22,0,7,25,0,7,25,0,7,26,1,8,20,1,7,30,1
White men+,3,9,0,3,8,0,3,9,0,3,9,0,3,9,0,3,9,0,3,10,0,4,11,1,3,8,1
White women+,9,19,0,9,19,0,9,19,0,9,19,0,9,19,0,9,19,0,9,21,0,9,18,0,9,16,0
White men+,6,30,0,6,29,0,6,30,0,6,30,0,6,30,0,6,30,0,6,33,1,6,27,0,6,27,0
White women+,3,17,0,3,15,0,3,17,0,3,17,0,3,17,0,3,17,0,3,15,0,3,13,0,3,15,0
White men+,9,19,0,9,18,0,9,18,0,9,19,0,9,19,0,9,19,0,9,19,1,9,19,0,9,18,1
White women+,2,28,0,2,24,0,2,28,0,2,28,0,2,28,0,2,28,0,2,27,1,2,28,1,2,28,1
White women+,2,29,0,2,25,0,2,29,0,2,29,0,2,29,0,2,29,0,2,28,1,2,29,1,2,29,1
White women+,2,30,0,2,26,0,2,30,0,2,30,0,2,30,0,2,30,0,2,29,0,2,30,0,2,30,1
White men+,9,20,0,9,19,0,9,19,0,9,20,0,9,20,0,9,20,0,9,20,0,9,20,0,10,16,1
White men+,5,24,0,5,22,0,5,24,0,5,24,0,5,24,0,5,24,0,5,18,0,5,22,0,5,21,0
White men+,5,25,0,7,29,1,5,25,0,5,25,0,5,25,0,5,25,0,6,34,1,5,23,0,5,22,1
White men+,3,10,0,3,9,0,3,10,0,3,10,0,3,10,0,3,10,0,4,14,1,4,12,1,4,17,1
Black women,10,2,0,10,2,0,10,2,0,10,2,0,10,2,0,11,2,1,10,2,0,10,2,0,10,2,1
White men+,4,17,0,4,14,0,4,17,0,4,17,0,4,17,0,4,17,0,4,15,1,5,24,1,5,23,1
White women+,5,27,0,5,28,0,5,27,0,5,24,0,5,27,0,5,27,0,5,27,1,6,21,1,5,28,1
Black women,3,5,0,3,4,0,3,5,0,3,5,0,3,5,0,4,10,1,3,4,0,3,5,1,3,4,1
White women+,12,6,0,12,6,0,12,6,0,12,6,0,12,6,0,12,6,0,12,6,0,12,6,0,12,6,0
White men+,6,31,0,6,30,0,6,31,0,6,31,0,6,31,0,6,31,0,6,35,0,6,28,0,6,28,0
Black women,4,11,0,4,11,0,4,11,0,4,9,0,4,11,0,5,6,1,4,11,0,5,7,1,5,8,1
Black men,1,3,0,1,3,0,1,3,0,1,3,0,1,2,1,4,2,1,1,2,1,2,6,1,1,3,1
White men+,6,32,0,6,31,1,6,32,1,6,32,1,6,32,1,6,32,1,6,36,1,6,29,1,7,31,1
White women+,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,0,21,4,1,21,4,0,21,4,0
White women+,6,28,0,6,30,0,6,28,0,6,32,0,6,28,0,6,28,0,6,29,1,7,22,1,6,24,1
Black women,5,8,0,5,9,0,5,8,0,5,9,1,5,8,0,6,6,1,5,7,1,5,8,1,5,9,1
Black men,7,5,0,7,5,0,7,5,0,7,7,0,7,5,1,15,1,1,7,6,0,7,5,0,7,5,1
Black men,3,15,0,3,13,0,3,15,0,3,13,0,3,13,1,7,11,1,3,11,1,3,14,1,3,16,1
Black women,4,12,0,4,12,0,4,12,0,4,10,0,4,12,0,6,7,1,4,12,1,4,12,0,4,12,0
Black women,3,6,0,3,5,0,3,6,0,4,11,1,3,6,0,4,11,1,3,5,0,3,6,0,3,5,1
Black women,2,10,0,2,9,0,2,10,0,2,10,0,2,10,0,2,9,1,2,9,1,2,9,0,2,10,0
Black men,4,6,0,4,6,0,4,6,0,4,5,0,4,9,1,9,3,1,4,5,1,4,8,1,4,6,1
Black women,2,11,0,2,10,0,2,11,0,2,11,0,2,11,0,3,6,1,2,10,1,2,10,1,2,11,1
Black women,9,2,0,9,3,0,9,3,0,9,2,0,9,2,0,10,2,1,9,4,1,9,2,0,9,2,0
White women+,6,29,0,6,31,0,6,29,0,6,33,0,6,29,0,6,29,0,6,30,0,6,22,0,6,25,0
White men+,3,11,0,3,10,0,3,11,0,3,11,0,3,11,0,3,11,0,3,11,0,3,9,0,4,18,1
White men+,18,4,0,18,4,0,18,4,0,18,4,0,18,4,0,18,4,0,18,4,0,18,4,0,18,5,1
White women+,4,31,0,4,33,0,4,30,0,4,29,0,4,31,0,4,31,0,4,29,0,4,29,1,4,31,1
Black men,9,1,0,9,2,0,9,1,0,9,1,0,9,1,1,14,3,1,9,2,1,9,1,0,9,1,1
Black men,9,2,0,9,3,0,9,2,0,9,2,0,9,2,1,15,2,1,9,3,1,9,2,0,9,2,1
Black men,6,3,0,6,3,0,6,3,0,6,4,0,6,3,1,9,4,1,6,5,1,6,5,1,6,3,1
Black women,3,7,0,5,10,1,3,7,0,3,6,0,3,7,0,3,7,1,3,6,0,3,7,1,3,6,1
White men+,6,33,0,6,32,0,6,33,0,6,33,0,6,33,0,6,33,0,7,27,1,7,30,1,7,32,1
White women+,3,18,0,3,16,0,3,18,0,3,18,0,3,18,0,3,18,0,3,16,0,3,14,1,3,16,1
White women+,10,12,0,10,12,0,10,12,0,10,12,0,10,12,0,10,12,0,10,12,0,10,13,0,10,14,0
White men+,9,21,0,9,20,0,9,20,0,9,21,0,9,21,0,9,21,0,9,21,0,9,21,0,9,19,0
White women+,3,19,0,3,17,0,3,19,0,3,19,0,3,19,0,3,19,0,3,17,0,4,30,1,3,17,1
White men+,7,26,0,7,30,0,7,26,0,8,20,1,7,26,0,7,26,0,7,28,0,7,31,0,7,33,1
White men+,14,10,0,14,10,0,14,10,0,14,10,0,14,10,0,14,10,0,14,10,0,14,10,0,14,11,1
Black women,3,8,0,3,6,0,3,8,0,3,7,0,3,8,0,6,8,1,3,7,0,3,8,1,3,7,1
White men+,8,17,0,8,20,0,8,17,0,8,21,0,8,17,0,8,17,0,8,19,0,8,21,0,8,17,0
Black women,2,12,0,2,11,0,2,12,0,2,12,0,2,12,0,2,10,1,3,8,1,2,11,0,2,12,0
Black women,3,9,0,3,7,0,3,9,0,3,8,0,3,9,0,4,12,1,3,9,1,3,9,1,3,8,1
Black women,4,13,0,4,13,0,4,13,0,6,5,1,4,13,0,7,3,1,4,13,1,4,13,1,4,13,1
Black women,3,10,0,3,8,0,3,10,0,3,9,0,3,10,0,3,8,1,3,10,1,3,10,0,3,9,0
Black women,4,14,0,4,14,0,4,14,0,4,12,0,4,14,0,5,7,1,4,14,1,4,14,1,4,14,1
Black women,5,9,0,5,11,0,5,9,0,5,10,0,5,9,0,5,8,-1,5,8,1,6,6,1,5,10,1
Black women,3,11,0,3,9,0,3,11,0,3,10,0,3,11,0,3,9,1,3,11,1,3,11,1,3,10,1
Hispanic women,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,3,5,1,2,3,1,2,1,1,2,2,1
Black men,4,7,0,4,7,0,4,7,0,8,2,1,4,10,1,9,5,1,4,6,0,4,9,1,4,7,1
Black women,4,15,0,4,15,0,4,15,0,4,13,0,4,15,0,3,10,-1,4,15,1,4,15,1,4,15,1
Black men,3,16,0,3,14,0,3,16,0,3,14,0,3,14,1,6,3,1,3,12,0,3,15,0,3,17,0
Black men,9,3,0,9,4,0,9,3,0,12,1,1,9,3,1,13,2,1,9,4,1,9,3,0,9,3,0
Hispanic men,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,4,1,1,2,2,1,3,1,1,2,2,1
White men+,6,34,0,6,33,0,6,34,0,6,34,0,6,34,0,6,34,0,6,37,0,6,30,0,6,29,1
White women+,3,20,0,3,18,0,3,20,0,3,20,0,3,20,0,3,20,0,3,18,0,3,15,0,3,18,0
White women+,8,12,0,8,12,0,10,13,1,8,12,0,8,12,0,8,12,0,8,11,1,8,15,0,8,12,1
White men+,19,2,0,19,2,0,19,2,0,19,2,0,19,2,0,19,2,0,19,2,0,19,2,0,19,2,0
Hispanic men,7,4,0,7,4,0,7,4,0,7,4,0,7,4,0,10,4,1,7,4,0,7,6,0,8,5,1
White women+,3,21,0,3,19,0,3,21,0,3,21,0,3,21,0,3,21,0,3,19,0,4,31,1,3,19,1
White women+,4,32,0,4,34,0,4,31,0,4,30,0,4,32,0,4,32,0,4,30,0,5,30,1,5,29,1
Black men,3,17,0,3,15,0,3,17,0,3,15,0,3,15,1,9,6,1,3,13,1,3,16,0,3,18,1
White men+,7,27,0,7,31,0,12,12,1,7,23,0,7,27,0,7,27,0,7,29,1,7,32,0,7,34,1
White men+,11,14,0,11,15,0,11,13,0,11,14,0,11,14,0,11,14,0,11,15,0,11,14,0,11,14,0
White women+,8,13,0,8,13,0,8,13,0,8,13,0,8,13,0,8,13,0,8,12,1,8,16,0,9,17,1
White women+,3,22,0,3,20,0,3,22,0,3,22,0,3,22,0,3,22,0,3,20,0,3,16,1,3,20,1
White men+,7,28,0,7,32,0,7,27,0,7,24,0,7,28,0,7,28,0,7,30,0,8,22,1,7,35,0
Hispanic men,6,6,0,6,6,0,6,5,0,9,2,1,6,6,0,5,2,-1,6,6,1,6,3,0,7,5,1
White women+,5,28,0,5,29,0,5,28,0,5,25,0,5,28,0,5,28,0,5,28,0,5,31,1,5,30,1
White men+,6,35,0,6,34,0,6,35,0,6,35,0,6,35,0,6,35,0,6,38,1,7,33,1,6,30,1
White men+,12,11,0,12,11,0,12,13,0,12,11,0,12,11,0,12,11,0,12,12,0,12,13,0,12,10,0
Black men,7,6,0,7,6,0,7,6,0,7,8,0,7,6,1,12,2,1,7,7,1,7,6,0,7,6,0
Black men,7,7,0,7,7,0,7,7,0,7,9,0,7,7,1,12,3,1,7,8,0,7,7,0,7,7,1
Black men,2,5,0,2,5,0,2,5,0,2,4,0,2,4,1,8,9,1,2,3,0,2,7,0,2,4,1
White men+,6,36,0,6,35,1,6,36,1,6,36,1,6,36,1,6,36,1,7,31,1,6,31,1,7,36,1
Black women,4,16,0,4,16,0,4,16,0,5,11,1,4,16,0,5,9,1,5,9,1,5,9,1,5,11,1
Hispanic women,4,6,0,4,6,0,4,6,0,4,6,0,4,6,0,5,4,1,5,3,1,5,5,1,4,6,0
White women+,4,33,0,4,35,0,4,32,0,4,31,0,4,33,0,4,33,0,4,31,1,4,32,1,4,32,1
Black men,3,18,0,3,16,0,3,18,0,3,16,0,3,16,1,6,4,1,3,14,1,3,17,1,3,19,1
White men+,6,37,0,6,36,0,6,37,0,6,37,0,6,37,0,6,37,0,6,39,0,6,32,0,7,37,1
Hispanic men,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,6,3,1,3,1,0,4,5,1,4,5,1
White women+,12,7,0,12,7,0,12,7,0,12,7,0,12,7,0,12,7,0,12,7,0,12,7,0,12,7,0
Hispanic women,6,7,0,6,7,1,6,7,1,6,7,1,6,7,1,7,4,1,6,8,1,6,8,1,6,8,1
Black women,4,17,0,4,17,0,7,3,1,4,14,0,4,17,0,6,9,1,4,16,1,4,16,1,4,16,1
White men+,6,38,0,6,37,0,6,38,0,6,38,0,6,38,0,6,38,0,6,40,0,6,33,0,6,31,1
White men+,12,12,0,12,12,0,12,14,0,12,12,0,12,12,0,12,12,0,12,13,0,12,14,0,12,11,0
Black men,1,4,0,1,4,0,1,4,0,1,4,0,1,3,1,3,1,1,1,3,1,1,1,0,1,4,0
White men+,17,4,0,17,4,0,17,6,0,17,4,0,17,4,0,17,4,0,17,4,0,18,5,1,17,3,0
White men+,13,6,0,13,7,0,13,6,0,13,6,0,13,6,0,13,6,0,13,6,0,15,14,1,13,10,1
Black men,6,4,0,6,4,0,6,4,0,6,5,0,6,4,1,11,5,1,6,6,0,7,8,1,6,4,0
Hispanic men,7,5,0,7,5,0,7,5,0,7,5,0,7,5,0,10,5,1,7,5,0,7,7,0,8,6,1
Hispanic men,6,7,0,6,7,0,6,6,0,6,6,0,6,7,0,13,4,1,7,6,1,7,8,1,7,6,1
White men+,12,13,0,12,13,0,12,15,0,12,13,0,12,13,0,12,13,0,17,5,1,12,15,0,13,11,1
Hispanic women,6,8,0,6,8,1,6,8,1,6,8,1,6,8,1,9,3,1,6,9,1,6,9,1,6,9,1
Hispanic men,5,2,0,5,2,0,5,2,0,5,2,0,5,2,0,11,1,1,5,2,1,6,4,1,6,5,1
Black women,4,18,0,4,18,0,4,17,0,4,15,0,4,18,0,4,13,-1,4,17,1,5,10,1,4,17,1
Hispanic women,9,1,0,9,1,1,9,1,1,9,1,1,9,1,1,10,4,1,9,1,1,9,1,1,9,1,1
Black men,1,5,0,1,5,0,1,5,0,1,5,0,1,4,1,4,3,1,1,4,1,1,2,1,1,5,1
Black women,3,12,0,3,10,0,3,12,0,4,16,1,3,12,0,2,11,-1,3,12,1,4,17,1,3,11,1
Hispanic men,7,6,0,7,6,0,7,6,0,7,6,0,7,6,0,8,1,1,7,7,1,8,5,1,7,7,1
Hispanic men,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,13,5,1,7,8,1,7,9,0,8,7,1
Hispanic women,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,1,2,4,0,2,2,1,2,3,1
Hispanic men,8,5,0,8,5,0,8,5,0,8,5,0,8,5,0,11,2,1,8,5,0,8,6,0,9,1,1
Hispanic men,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,6,4,1,3,2,1,3,2,1,3,1,1
White women+,12,8,0,12,8,0,12,8,0,12,8,0,12,8,0,12,8,0,12,8,0,12,8,0,12,8,0
White women+,2,31,0,2,27,0,2,31,0,2,31,0,2,31,0,2,31,0,2,30,0,2,31,0,2,31,1
White men+,13,7,0,13,8,0,13,7,0,13,7,0,13,7,0,13,7,0,13,7,0,13,6,0,13,12,0
White women+,4,34,0,4,36,0,4,33,0,4,32,0,4,34,0,4,34,0,4,32,0,4,33,1,4,33,1
Black men,5,5,0,5,5,0,5,5,0,5,6,0,5,5,1,12,4,1,5,9,0,5,3,1,5,5,1
White women+,2,32,0,2,28,0,2,32,0,2,32,0,2,32,0,2,32,0,2,31,1,2,32,0,2,32,0
